Log file
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  1.4s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  1.5s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  1.6s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  1.6s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  1.7s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  1.8s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  1.9s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  2.0s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  2.1s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  2.2s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  2.3s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  2.4s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  2.5s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  2.6s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  2.7s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  2.8s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  2.9s
