SolarRef (%),WindRef (%) UI,LoadRef (%),SolarU (V),LoadI (mA),WindU (V),Fuel cell U (V),Fuel cell pwm (0-255),ElectrolyzerU (V),ElectrolyzerI (mA),Electrolyzer pwm (0-255),gridU (V),H2 pwm (0-255),looptime (ms),fanRaw (%) dimmer,wind pwm (0-255),mismatch flow (-),zon flow (-),wind flow (-),fuel cell flow (-),Tanklevel (mL),t (s)
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,40.0,0.6,28.0,8.607877244999983,0.779
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,40.0,0.6,28.0,8.549116234999985,0.99
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,40.0,0.6,28.0,8.549116234999985,1.201
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,40.0,0.6,28.0,8.490355224999973,1.408
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,40.0,0.6,28.0,8.402213709999984,1.618
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,40.0,0.6,28.0,8.314072194999994,1.828
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,40.0,0.6,28.0,8.255311184999982,2.041
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,40.0,0.6,28.0,8.196550174999985,2.248
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,40.0,0.6,28.0,8.137789164999987,2.457
0.0,0.0,100.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,40.0,0.6,28.0,8.137789164999987,0.107
0.0,0.0,100.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,40.0,0.6,28.0,8.137789164999987,0.321
0.0,0.0,100.0,0.39,4190.89,0.3,0.0,0.0,0.92,4036.56,0.0,2.49,-50.0,16.0,0.0,0.0,-4177.08,7.800000000000001,0.09,0.0,8.108408659999995,0.516
0.0,100.0,100.0,0.39,4190.89,0.3,0.0,0.0,0.92,4036.56,0.0,2.49,-50.0,16.0,0.0,0.0,-4177.08,7.800000000000001,0.09,0.0,7.961506134999979,0.715
0.0,100.0,100.0,0.39,4190.89,0.3,0.0,0.0,0.92,4036.56,0.0,2.49,-50.0,16.0,0.0,0.0,-4177.08,7.800000000000001,0.09,0.0,7.932125629999987,0.915
0.0,100.0,100.0,1.09,4190.54,0.67,0.0,0.0,2.18,4036.33,0.0,5.39,-50.0,16.0,95.0,0.0,-4142.94,21.8,0.201,0.0,7.87336461999999,1.115
0.0,100.0,100.0,1.09,4190.54,0.67,0.0,0.0,2.18,4036.33,0.0,5.39,-50.0,16.0,95.0,0.0,-4142.94,21.8,0.201,0.0,7.843984114999984,1.314
0.0,100.0,100.0,1.78,4190.43,0.71,0.0,0.0,3.43,4036.67,0.0,8.28,-50.0,17.0,95.0,0.0,-4127.96,35.6,0.213,0.0,7.814603609999978,1.515
0.0,100.0,100.0,1.78,4190.43,0.71,0.0,0.0,3.43,4036.67,0.0,8.28,-50.0,17.0,95.0,0.0,-4127.96,35.6,0.213,0.0,7.75584259999998,1.715
0.0,100.0,100.0,2.47,4189.16,1.0,0.0,0.0,4.68,4036.44,0.0,11.18,-50.0,16.0,95.0,0.0,-4100.91,49.400000000000006,0.3,0.0,7.697081589999982,1.915
0.0,100.0,100.0,2.47,4189.16,1.0,0.0,0.0,4.68,4036.44,0.0,11.18,-50.0,16.0,95.0,0.0,-4100.91,49.400000000000006,0.3,0.0,7.63832057999997,2.114
0.0,100.0,100.0,2.82,4190.08,1.18,0.0,0.0,5.16,4036.21,0.0,11.91,-50.0,18.0,95.0,0.0,-4096.54,56.4,0.354,0.0,7.63832057999997,2.315
0.0,100.0,100.0,2.82,4190.08,1.18,0.0,0.0,5.16,4036.21,0.0,11.91,-50.0,18.0,95.0,0.0,-4096.54,56.4,0.354,0.0,7.5795595699999865,2.514
0.0,100.0,100.0,2.82,4190.08,1.18,0.0,0.0,5.16,4036.21,0.0,11.91,-50.0,18.0,95.0,0.0,-4096.54,56.4,0.354,0.0,7.5501790649999805,2.714
