SolarRef (%),WindRef (%) UI,LoadRef (%),SolarU (V),LoadI (mA),WindU (V),Fuel cell U (V),Fuel cell pwm (0-255),ElectrolyzerU (V),ElectrolyzerI (mA),Electrolyzer pwm (0-255),gridU (V),H2Ref byte (0-255),looptime (ms),fanRaw (%) dimmer,wind pwm (0-255),Total current multiplier (mA),zon power (W),wind power (W),fuel cell flow (-),Tanklevel (mL),t (s)
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,4.0,47.41952434999999,0.76
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,4.0,47.65456838999999,0.949
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,4.0,47.94837343999998,1.139
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,4.0,48.212797984999995,1.329
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,4.0,48.53598353999999,1.519
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,4.0,48.74164707499999,1.714
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,4.0,48.829788589999986,1.899
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,4.0,49.094213135,2.089
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,4.0,49.41739868999999,2.285
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,4.0,49.50554020499998,2.48
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,4.0,49.68182323499999,2.682
0.0,0.0,0.0,0.31,-6.32,0.0,0.02,0.0,0.54,0.43,0.0,2.33,0.0,11.0,0.0,0.0,6.32,0.0,0.0,-14.725600000000002,49.97562828499999,2.883
0.0,0.0,0.0,0.31,-6.32,0.0,0.02,0.0,0.54,0.43,0.0,2.33,0.0,11.0,0.0,0.0,6.32,0.0,0.0,-14.725600000000002,50.06376979999999,3.085
0.0,0.0,0.0,0.84,-4.74,0.0,0.04,0.0,1.28,-3.02,0.0,5.21,-1.0,13.0,0.0,0.0,4.74,0.0,0.0,-24.6954,50.122530809999986,3.281
0.0,100.0,56.0,0.84,-4.74,0.0,0.04,0.0,1.28,-3.02,0.0,5.21,-1.0,13.0,0.0,0.0,4.74,0.0,0.0,-24.6954,50.357574849999985,0.111
0.0,100.0,55.0,1.36,-1.73,0.0,0.06,0.0,2.02,3.74,0.0,8.06,-1.0,12.0,95.0,0.0,2.73760292369727,0.0,0.23203655899999998,-13.943800000000001,50.50447737499999,0.312
0.0,100.0,54.0,1.36,-1.73,0.0,0.06,0.0,2.02,3.74,0.0,8.06,-1.0,12.0,95.0,0.0,2.73760292369727,0.0,0.23203655899999998,-13.943800000000001,50.71014090999999,0.516
0.0,100.0,53.0,1.36,-1.73,0.0,0.06,0.0,2.02,3.74,0.0,8.06,-1.0,12.0,95.0,0.0,2.73760292369727,0.0,0.23203655899999998,-13.943800000000001,50.94518494999999,0.711
0.0,99.0,51.0,1.89,254.44,0.5,0.09,0.0,2.79,-1.44,0.0,10.92,-1.0,13.0,95.0,0.0,-253.4565647820513,0.0,0.306831788,2778.4848,51.18022898999999,0.911
0.0,99.0,48.0,1.89,254.44,0.5,0.09,0.0,2.79,-1.44,0.0,10.92,-1.0,13.0,95.0,0.0,-253.4565647820513,0.0,0.306831788,2778.4848,51.444653534999986,1.111
0.0,99.0,46.0,2.06,227.41,1.14,0.09,100.0,2.95,-0.72,0.0,11.09,12.0,12.0,94.0,0.0,-134.4376111361587,0.0,29.4589655,2521.9769,51.797219594999994,1.315
0.0,99.0,43.0,2.06,227.41,1.14,0.09,100.0,2.95,-0.72,0.0,11.09,12.0,12.0,94.0,0.0,-134.4376111361587,0.0,29.4589655,2521.9769,52.14978565499998,1.514
0.0,98.0,40.0,2.08,211.02,1.78,0.09,100.0,2.97,3.31,0.0,11.05,6.0,11.0,94.0,0.0,18.511477696832557,0.0,72.46636653,2331.771,52.03226363499999,1.712
0.0,98.0,36.0,2.08,211.02,1.78,0.09,100.0,2.97,3.31,0.0,11.05,6.0,11.0,94.0,0.0,18.511477696832557,0.0,72.46636653,2331.771,52.179166159999994,1.911
0.0,97.0,33.0,2.11,164.59,2.45,0.09,0.0,2.99,5.89,0.0,11.02,-1.0,15.0,93.0,0.0,216.9027465517242,0.0,120.1157162,1813.7818,52.03226363499999,2.114
0.0,97.0,30.0,2.11,164.59,2.45,0.09,0.0,2.99,5.89,0.0,11.02,-1.0,15.0,93.0,0.0,216.9027465517242,0.0,120.1157162,1813.7818,52.32606868499999,2.312
0.0,96.0,26.0,2.11,164.59,2.45,0.09,0.0,2.99,5.89,0.0,11.02,-1.0,15.0,93.0,0.0,216.9027465517242,0.0,120.1157162,1813.7818,52.50235171499999,2.511
