SolarRef (%),WindRef (%) UI,LoadRef (%),SolarU (V),LoadI (mA),WindU (V),Fuel cell U (V),Fuel cell pwm (0-255),ElectrolyzerU (V),ElectrolyzerI (mA),Electrolyzer pwm (0-255),gridU (V),H2Ref byte (0-255),looptime (ms),fanRaw (%) dimmer,wind pwm (0-255),Total current multiplier (mA),zon power (W),wind power (W),fuel cell flow (-),Tanklevel (mL),t (s)
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,4.0,18.362204904999984,0.758
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,4.0,18.391585409999976,0.949
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,4.0,18.362204904999984,1.136
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,4.0,18.274063389999995,1.334
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,4.0,18.24468288499999,1.517
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,4.0,18.156541369999985,1.707
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,4.0,18.097780359999987,1.896
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,4.0,18.03901934999999,2.087
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,4.0,18.009638844999984,2.287
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,4.0,17.950877834999986,2.487
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,4.0,17.950877834999986,2.689
0.0,0.0,0.0,0.31,-5.03,0.4,0.02,0.0,0.5,2.59,0.0,2.34,0.0,11.0,0.0,0.0,175.76020112820513,0.0,16.64619461,-11.770199999999999,17.862736319999982,2.888
0.0,0.0,0.0,0.31,-5.03,0.4,0.02,0.0,0.5,2.59,0.0,2.34,0.0,11.0,0.0,0.0,175.76020112820513,0.0,16.64619461,-11.770199999999999,17.862736319999982,3.087
0.0,0.0,0.0,0.85,5.46,0.92,0.06,0.0,1.22,26.02,4.0,5.22,-9.0,12.0,0.0,0.0,85.74454101149426,0.0,19.83698767,28.501199999999997,17.745214299999986,3.293
0.0,0.0,0.0,0.85,5.46,0.92,0.06,0.0,1.22,26.02,4.0,5.22,-9.0,12.0,0.0,0.0,85.74454101149426,0.0,19.83698767,28.501199999999997,17.657072784999983,3.487
0.0,0.0,0.0,1.39,2.16,1.3,0.09,0.0,2.13,97.75,2.0,8.05,-5.0,12.0,0.0,0.0,36.152357336645956,0.0,12.85060319,17.388,17.62769227999999,3.69
0.0,0.0,0.0,1.39,2.16,1.3,0.09,0.0,2.13,97.75,2.0,8.05,-5.0,12.0,0.0,0.0,36.152357336645956,0.0,12.85060319,17.388,17.568931269999993,3.888
0.0,0.0,0.0,1.94,3.02,1.53,0.13,0.0,2.96,30.47,0.0,10.87,-2.0,12.0,0.0,0.0,14.614309730266791,0.0,7.986872782000001,32.8274,17.48078975499999,4.088
0.0,0.0,0.0,1.94,3.02,1.53,0.13,0.0,2.96,30.47,0.0,10.87,-2.0,12.0,0.0,0.0,14.614309730266791,0.0,7.986872782000001,32.8274,17.392648239999986,4.288
0.0,0.0,0.0,1.94,3.02,1.53,0.13,0.0,2.96,30.47,0.0,10.87,-2.0,12.0,0.0,0.0,14.614309730266791,0.0,7.986872782000001,32.8274,17.333887229999974,4.487
0.0,0.0,0.0,2.1,7.33,1.13,0.14,0.0,3.13,0.29,0.0,11.04,-1.0,12.0,0.0,0.0,29.571970847826087,0.0,16.97490659,80.9232,17.30450672499998,4.688
0.0,0.0,0.0,2.1,7.33,1.13,0.14,0.0,3.13,0.29,0.0,11.04,-1.0,12.0,0.0,0.0,29.571970847826087,0.0,16.97490659,80.9232,17.275126219999976,4.888
0.0,0.0,0.0,2.09,2.44,0.63,0.14,0.0,3.13,-1.44,0.0,11.04,-2.0,12.0,0.0,0.0,42.00085763043479,0.0,20.44279451,26.937599999999996,17.216365209999992,5.088
0.0,0.0,0.0,2.09,2.44,0.63,0.14,0.0,3.13,-1.44,0.0,11.04,-2.0,12.0,0.0,0.0,42.00085763043479,0.0,20.44279451,26.937599999999996,17.12822369499999,5.288
0.0,0.0,0.0,2.09,4.31,0.27,0.14,0.0,2.98,12.51,1.0,11.06,-3.0,13.0,0.0,0.0,9.803063011211574,0.0,6.503769871,47.6686,17.069462684999976,5.493
0.0,0.0,0.0,2.09,4.31,0.27,0.14,0.0,2.98,12.51,1.0,11.06,-3.0,13.0,0.0,0.0,9.803063011211574,0.0,6.503769871,47.6686,17.040082179999985,5.687
0.0,0.0,0.0,2.08,7.76,0.05,0.14,0.0,2.95,16.39,0.0,11.06,-1.0,12.0,0.0,0.0,-7.760000000000001,0.0,0.0,85.82560000000001,17.040082179999985,5.888
0.0,0.0,0.0,2.08,7.76,0.05,0.14,0.0,2.95,16.39,0.0,11.06,-1.0,12.0,0.0,0.0,-7.760000000000001,0.0,0.0,85.82560000000001,16.981321169999987,6.087
0.0,0.0,0.0,2.08,7.76,0.05,0.14,0.0,2.95,16.39,0.0,11.06,-1.0,12.0,0.0,0.0,-7.760000000000001,0.0,0.0,85.82560000000001,16.981321169999987,6.291
0.0,0.0,0.0,2.06,5.03,0.0,0.14,0.0,2.95,2.3,0.0,11.09,0.0,11.0,0.0,0.0,-5.03,0.0,0.0,55.782700000000006,16.981321169999987,6.488
0.0,0.0,0.0,2.06,5.03,0.0,0.14,0.0,2.95,2.3,0.0,11.09,0.0,11.0,0.0,0.0,-5.03,0.0,0.0,55.782700000000006,16.92256015999999,6.687
0.0,0.0,0.0,2.1,5.89,0.0,0.14,0.0,2.95,0.29,0.0,11.05,0.0,11.0,0.0,0.0,-5.890000000000001,0.0,0.0,65.0845,16.863799149999977,6.888
0.0,0.0,0.0,2.1,5.89,0.0,0.14,0.0,2.95,0.29,0.0,11.05,0.0,11.0,0.0,0.0,-5.890000000000001,0.0,0.0,65.0845,16.834418644999985,7.095
0.0,0.0,0.0,2.09,3.45,0.0,0.14,0.0,2.94,6.61,0.0,11.07,0.0,11.0,0.0,0.0,-3.45,0.0,0.0,38.191500000000005,16.863799149999977,7.288
0.0,0.0,0.0,2.09,3.45,0.0,0.14,0.0,2.94,6.61,0.0,11.07,0.0,11.0,0.0,0.0,-3.45,0.0,0.0,38.191500000000005,16.775657634999988,7.487
0.0,0.0,0.0,2.11,1.01,0.0,0.14,0.0,2.89,-0.72,0.0,11.11,0.0,12.0,0.0,0.0,-1.01,0.0,0.0,11.2211,16.834418644999985,7.688
0.0,0.0,0.0,2.11,1.01,0.0,0.14,0.0,2.89,-0.72,0.0,11.11,0.0,12.0,0.0,0.0,-1.01,0.0,0.0,11.2211,16.80503813999998,7.887
0.0,0.0,0.0,2.12,1.15,0.0,0.14,0.0,2.87,-0.43,0.0,11.06,0.0,11.0,0.0,0.0,-1.15,0.0,0.0,12.719,16.74627712999998,8.088
0.0,0.0,0.0,2.12,1.15,0.0,0.14,0.0,2.87,-0.43,0.0,11.06,0.0,11.0,0.0,0.0,-1.15,0.0,0.0,12.719,16.80503813999998,8.287
0.0,0.0,0.0,2.12,1.15,0.0,0.14,0.0,2.87,-0.43,0.0,11.06,0.0,11.0,0.0,0.0,-1.15,0.0,0.0,12.719,16.834418644999985,8.488
0.0,0.0,0.0,2.09,2.16,0.0,0.14,0.0,2.86,0.86,0.0,11.12,0.0,11.0,0.0,0.0,-2.16,0.0,0.0,24.0192,16.775657634999988,8.694
0.0,0.0,0.0,2.09,2.16,0.0,0.14,0.0,2.86,0.86,0.0,11.12,0.0,11.0,0.0,0.0,-2.16,0.0,0.0,24.0192,16.834418644999985,8.889
0.0,0.0,0.0,2.07,2.88,0.0,0.14,0.0,2.86,-0.29,0.0,11.09,0.0,13.0,0.0,0.0,-2.88,0.0,0.0,31.9392,0.05876100999999778,9.088
0.0,0.0,0.0,2.07,2.88,0.0,0.14,0.0,2.86,-0.29,0.0,11.09,0.0,13.0,0.0,0.0,-2.88,0.0,0.0,31.9392,0.14690252500000156,9.287
0.0,0.0,0.0,2.04,9.06,0.0,0.14,0.0,2.86,0.0,0.0,11.09,0.0,11.0,0.0,0.0,-9.06,0.0,0.0,100.47540000000001,0.17628302999999335,9.494
0.0,0.0,0.0,2.04,9.06,0.0,0.14,0.0,2.86,0.0,0.0,11.09,0.0,11.0,0.0,0.0,-9.06,0.0,0.0,100.47540000000001,0.14690252500000156,9.687
0.0,0.0,0.0,2.05,2.73,0.0,0.14,0.0,2.86,0.57,0.0,11.14,0.0,11.0,0.0,0.0,-2.73,0.0,0.0,30.412200000000002,0.029380505000005996,9.888
0.0,0.0,0.0,2.05,2.73,0.0,0.14,0.0,2.86,0.57,0.0,11.14,0.0,11.0,0.0,0.0,-2.73,0.0,0.0,30.412200000000002,0.029380504999991786,10.088
0.0,0.0,0.0,2.07,3.02,0.0,0.14,0.0,2.86,2.3,0.0,11.13,0.0,13.0,0.0,0.0,-3.02,0.0,0.0,33.6126,-0.05876100999999778,10.294
0.0,0.0,0.0,2.07,3.02,0.0,0.14,0.0,2.86,2.3,0.0,11.13,0.0,13.0,0.0,0.0,-3.02,0.0,0.0,33.6126,-0.05876100999999778,10.487
0.0,0.0,0.0,2.07,3.02,0.0,0.14,0.0,2.86,2.3,0.0,11.13,0.0,13.0,0.0,0.0,-3.02,0.0,0.0,33.6126,-0.029380505000005996,10.688
0.0,0.0,0.0,2.07,3.45,0.0,0.14,0.0,2.86,0.43,0.0,11.17,0.0,11.0,0.0,0.0,-3.45,0.0,0.0,38.536500000000004,-0.029380505000005996,10.887
0.0,0.0,0.0,2.07,3.45,0.0,0.14,0.0,2.86,0.43,0.0,11.17,0.0,11.0,0.0,0.0,-3.45,0.0,0.0,38.536500000000004,0.0,11.09
0.0,0.0,0.0,2.08,0.43,0.0,0.14,0.0,2.86,4.17,0.0,11.14,0.0,11.0,0.0,0.0,-0.43,0.0,0.0,4.7902000000000005,-0.08814151500000378,11.288
0.0,0.0,0.0,2.08,0.43,0.0,0.14,0.0,2.86,4.17,0.0,11.14,0.0,11.0,0.0,0.0,-0.43,0.0,0.0,4.7902000000000005,-0.14690252500000156,11.487
0.0,0.0,0.0,2.06,1.58,0.0,0.14,0.0,2.85,1.01,0.0,11.14,0.0,12.0,0.0,0.0,-1.58,0.0,0.0,17.601200000000002,-0.17628303000000756,11.688
0.0,0.0,0.0,2.06,1.58,0.0,0.14,0.0,2.85,1.01,0.0,11.14,0.0,12.0,0.0,0.0,-1.58,0.0,0.0,17.601200000000002,-0.23504404000000534,11.887
0.0,0.0,0.0,2.04,4.74,0.0,0.14,0.0,2.85,-1.29,0.0,11.1,0.0,11.0,0.0,0.0,-4.74,0.0,0.0,52.614,-0.3231855550000091,12.088
0.0,0.0,0.0,2.04,4.74,0.0,0.14,0.0,2.85,-1.29,0.0,11.1,0.0,11.0,0.0,0.0,-4.74,0.0,0.0,52.614,-0.3819465650000069,12.287
0.0,0.0,0.0,2.04,4.74,0.0,0.14,0.0,2.85,-1.29,0.0,11.1,0.0,11.0,0.0,0.0,-4.74,0.0,0.0,52.614,-0.4407075750000047,12.487
0.0,0.0,0.0,2.06,3.02,0.0,0.14,0.0,2.84,-0.57,0.0,11.09,0.0,12.0,0.0,0.0,-3.02,0.0,0.0,33.4918,-0.3819465650000069,12.688
0.0,0.0,0.0,2.06,3.02,0.0,0.14,0.0,2.84,-0.57,0.0,11.09,0.0,12.0,0.0,0.0,-3.02,0.0,0.0,33.4918,-0.3525660600000009,12.887
0.0,0.0,0.0,2.06,3.16,0.0,0.14,0.0,2.84,0.43,0.0,11.09,0.0,11.0,0.0,0.0,-3.16,0.0,0.0,35.0444,-0.3819465650000069,13.123
0.0,0.0,0.0,2.06,3.16,0.0,0.14,0.0,2.84,0.43,0.0,11.09,0.0,11.0,0.0,0.0,-3.16,0.0,0.0,35.0444,-0.3819465650000069,13.287
0.0,0.0,0.0,2.07,3.74,0.0,0.14,0.0,2.84,6.32,0.0,11.11,0.0,11.0,0.0,0.0,-3.74,0.0,0.0,41.5514,-0.3231855550000091,13.488
0.0,0.0,0.0,2.07,3.74,0.0,0.14,0.0,2.84,6.32,0.0,11.11,0.0,11.0,0.0,0.0,-3.74,0.0,0.0,41.5514,-0.4113270699999987,13.749
0.0,0.0,0.0,2.08,7.33,0.0,0.14,0.0,2.84,5.61,0.0,11.11,0.0,12.0,0.0,0.0,-7.330000000000001,0.0,0.0,81.4363,-0.4407075750000047,13.888
0.0,0.0,0.0,2.08,7.33,0.0,0.14,0.0,2.84,5.61,0.0,11.11,0.0,12.0,0.0,0.0,-7.330000000000001,0.0,0.0,81.4363,-0.3819465650000069,14.092
0.0,0.0,0.0,2.09,0.86,0.0,0.14,0.0,2.84,1.01,0.0,11.08,0.0,11.0,0.0,0.0,-0.86,0.0,0.0,9.5288,-0.4113270699999987,14.288
0.0,0.0,0.0,2.09,0.86,0.0,0.14,0.0,2.84,1.01,0.0,11.08,0.0,11.0,0.0,0.0,-0.86,0.0,0.0,9.5288,-0.4113270699999987,14.487
0.0,0.0,0.0,2.09,0.86,0.0,0.14,0.0,2.84,1.01,0.0,11.08,0.0,11.0,0.0,0.0,-0.86,0.0,0.0,9.5288,-0.4407075750000047,14.687
11.0,100.0,100.0,2.09,3.88,0.0,0.14,0.0,2.84,-5.18,0.0,11.12,0.0,11.0,0.0,0.0,-2.902032374100719,3.625,0.0,43.145599999999995,-0.4407075750000047,0.068
11.0,100.0,100.0,2.09,3.88,0.0,0.14,0.0,2.84,-5.18,0.0,11.12,0.0,11.0,0.0,0.0,-2.902032374100719,3.625,0.0,43.145599999999995,-0.5582295950000002,0.267
11.0,100.0,100.0,2.1,1.58,0.0,0.14,0.0,2.85,-1.29,0.0,11.11,0.0,13.0,95.0,0.0,-0.05911193375337513,3.776063,0.23203655899999998,17.5538,-0.49946858500000246,0.467
11.0,100.0,100.0,2.1,1.58,0.0,0.14,0.0,2.85,-1.29,0.0,11.11,0.0,13.0,95.0,0.0,-0.05911193375337513,3.776063,0.23203655899999998,17.5538,-0.5582295950000002,0.666
