SolarRef (%),WindRef (%) UI,LoadRef (%),SolarU (V),LoadI (mA),WindU (V),Fuel cell U (V),Fuel cell pwm (0-255),ElectrolyzerU (V),ElectrolyzerI (mA),Electrolyzer pwm (0-255),gridU (V),H2Ref byte (0-255),looptime (ms),fanRaw (%) dimmer,wind pwm (0-255),Total current multiplier (mA),zon power (W),wind power (W),fuel cell flow (-),Tanklevel (mL),t (s)
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,4.0,14.954066324999985,0.763
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,4.0,14.983446829999991,0.971
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,4.0,15.012827334999983,1.175
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,4.0,14.983446829999991,1.386
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,4.0,14.983446829999991,1.575
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,4.0,14.954066324999985,1.777
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,4.0,14.983446829999991,1.975
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,4.0,15.012827334999983,2.185
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,4.0,15.012827334999983,2.376
0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,0.0,4.0,14.954066324999985,2.575
0.0,0.0,0.0,0.32,-4.17,0.41,0.02,0.0,0.54,6.61,0.0,2.28,0.0,12.0,0.0,0.0,179.39310115789476,0.0,16.64619461,-9.507599999999998,14.924685819999993,2.776
0.0,0.0,0.0,0.32,-4.17,0.41,0.02,0.0,0.54,6.61,0.0,2.28,0.0,12.0,0.0,0.0,179.39310115789476,0.0,16.64619461,-9.507599999999998,14.924685819999993,2.98
0.0,0.0,0.0,0.85,-5.61,0.92,0.06,0.0,1.34,62.82,4.0,5.1,-9.0,13.0,0.0,0.0,98.9605302117647,0.0,19.83698767,-28.611,14.983446829999991,3.178
0.0,0.0,0.0,0.85,-5.61,0.92,0.06,0.0,1.34,62.82,4.0,5.1,-9.0,13.0,0.0,0.0,98.9605302117647,0.0,19.83698767,-28.611,14.983446829999991,3.375
0.0,0.0,0.0,0.85,-5.61,0.92,0.06,0.0,1.34,62.82,4.0,5.1,-9.0,13.0,0.0,0.0,98.9605302117647,0.0,19.83698767,-28.611,14.983446829999991,3.575
0.0,0.0,0.0,1.37,4.6,1.3,0.09,0.0,2.23,79.21,2.0,7.93,-5.0,13.0,0.0,0.0,34.292115581336695,0.0,12.85060319,36.477999999999994,15.07158834499998,3.781
0.0,0.0,0.0,1.37,4.6,1.3,0.09,0.0,2.23,79.21,2.0,7.93,-5.0,13.0,0.0,0.0,34.292115581336695,0.0,12.85060319,36.477999999999994,15.07158834499998,3.975
0.0,0.0,0.0,1.89,-0.57,1.51,0.13,0.0,3.07,50.17,0.0,10.76,-2.0,12.0,0.0,0.0,18.38458613085502,0.0,7.986872782000001,-6.1331999999999995,15.012827334999983,4.176
0.0,0.0,0.0,1.89,-0.57,1.51,0.13,0.0,3.07,50.17,0.0,10.76,-2.0,12.0,0.0,0.0,18.38458613085502,0.0,7.986872782000001,-6.1331999999999995,15.042207839999989,4.376
0.0,0.0,0.0,2.04,1.87,1.1,0.13,0.0,3.19,5.61,0.0,10.99,-1.0,12.0,0.0,0.0,35.199859705186526,0.0,16.97490659,20.5513,14.983446829999991,4.582
0.0,0.0,0.0,2.04,1.87,1.1,0.13,0.0,3.19,5.61,0.0,10.99,-1.0,12.0,0.0,0.0,35.199859705186526,0.0,16.97490659,20.5513,15.012827334999983,4.775
0.0,0.0,0.0,2.03,4.74,0.6,0.14,0.0,3.12,2.73,0.0,11.0,-2.0,12.0,0.0,0.0,39.86246074909091,0.0,20.44279451,52.14,15.012827334999983,4.975
0.0,0.0,0.0,2.03,4.74,0.6,0.14,0.0,3.12,2.73,0.0,11.0,-2.0,12.0,0.0,0.0,39.86246074909091,0.0,20.44279451,52.14,15.042207839999989,5.197
0.0,0.0,0.0,2.03,4.74,0.6,0.14,0.0,3.12,2.73,0.0,11.0,-2.0,12.0,0.0,0.0,39.86246074909091,0.0,20.44279451,52.14,15.07158834499998,5.375
0.0,0.0,0.0,2.05,5.61,0.24,0.14,0.0,2.98,6.32,0.0,10.99,-2.0,12.0,0.0,0.0,8.592955132302093,0.0,6.503769871,61.65390000000001,15.012827334999983,5.576
0.0,0.0,0.0,2.05,5.61,0.24,0.14,0.0,2.98,6.32,0.0,10.99,-2.0,12.0,0.0,0.0,8.592955132302093,0.0,6.503769871,61.65390000000001,15.042207839999989,5.775
0.0,0.0,0.0,2.06,5.18,0.04,0.14,0.0,2.89,2.73,0.0,10.99,-1.0,13.0,0.0,0.0,-5.18,0.0,0.0,56.9282,15.012827334999983,5.976
0.0,0.0,0.0,2.06,5.18,0.04,0.14,0.0,2.89,2.73,0.0,10.99,-1.0,13.0,0.0,0.0,-5.18,0.0,0.0,56.9282,14.983446829999991,6.179
0.0,0.0,0.0,2.08,2.59,0.0,0.14,0.0,2.88,4.6,0.0,10.99,0.0,11.0,0.0,0.0,-2.59,0.0,0.0,28.4641,14.924685819999993,6.376
0.0,0.0,0.0,2.08,2.59,0.0,0.14,0.0,2.88,4.6,0.0,10.99,0.0,11.0,0.0,0.0,-2.59,0.0,0.0,28.4641,14.924685819999993,6.575
0.0,0.0,0.0,2.09,1.87,0.0,0.13,0.0,2.87,3.74,0.0,10.99,0.0,11.0,0.0,0.0,-1.87,0.0,0.0,20.5513,14.748402789999986,6.776
0.0,0.0,0.0,2.09,1.87,0.0,0.13,0.0,2.87,3.74,0.0,10.99,0.0,11.0,0.0,0.0,-1.87,0.0,0.0,20.5513,14.748402789999986,6.98
0.0,0.0,0.0,2.09,1.73,0.0,0.13,0.0,2.87,1.01,0.0,10.99,0.0,12.0,0.0,0.0,-1.7299999999999998,0.0,0.0,19.0127,14.689641779999974,7.178
0.0,0.0,0.0,2.09,1.73,0.0,0.13,0.0,2.87,1.01,0.0,10.99,0.0,12.0,0.0,0.0,-1.7299999999999998,0.0,0.0,19.0127,14.777783294999992,7.376
0.0,0.0,0.0,2.09,1.73,0.0,0.13,0.0,2.87,1.01,0.0,10.99,0.0,12.0,0.0,0.0,-1.7299999999999998,0.0,0.0,19.0127,14.836544304999975,7.575
0.0,0.0,0.0,2.09,-1.29,0.0,0.14,0.0,2.86,8.48,0.0,10.99,0.0,11.0,0.0,0.0,1.29,0.0,0.0,-14.177100000000001,14.836544304999975,7.781
