coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo
0,2.891903734,6.503769871,10.85948049,16.64619461,19.32361512,20.44279451,20.84211383,20.61165096,19.83698767,18.59920968,16.97490659,15.03617194,12.85060319,10.48130171,7.986872782,5.421425618,2.834573339,0.271432986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.856952851,6.425166804,10.72823531,16.45390207,19.12343845,20.2639238,20.70069048,20.52190732,19.81132773,18.64828968,17.10771572,15.26011299,13.17157317,10.90377255,8.513971949,6.055016802,3.575337096,1.118947396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.822001967,6.346563738,10.59699013,16.26160954,18.92326179,20.08505309,20.55926712,20.43216367,19.78566778,18.69736968,17.24052486,15.48405404,13.49254316,11.32624338,9.041071116,6.688607986,4.316100854,1.966461807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.787051084,6.267960671,10.46574494,16.06931701,18.72308512,19.90618238,20.41784376,20.34242003,19.76000783,18.74644968,17.373334,15.70799509,13.81351314,11.74871422,9.568170282,7.32219917,5.056864611,2.813976218,0.631089488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.752100201,6.189357604,10.33449976,15.87702447,18.52290845,19.72731167,20.27642041,20.25267639,19.73434788,18.79552968,17.50614314,15.93193614,14.13448313,12.17118506,10.09526945,7.955790354,5.797628368,3.661490628,1.583910812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.717149317,6.110754538,10.20325458,15.68473194,18.32273179,19.54844096,20.13499705,20.16293275,19.70868793,18.84460968,17.63895227,16.15587719,14.45545311,12.5936559,10.62236862,8.589381538,6.538392126,4.509005039,2.536732136,0.652992473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.682198434,6.032151471,10.07200939,15.49243941,18.12255512,19.36957025,19.9935737,20.0731891,19.68302798,18.89368968,17.77176141,16.37981824,14.77642309,13.01612673,11.14946778,9.222972722,7.279155883,5.35651945,3.48955346,1.708735806,0.040532233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.647247551,5.953548404,9.940764209,15.30014687,17.92237845,19.19069954,19.85215034,19.98344546,19.65736803,18.94276968,17.90457055,16.6037593,15.09739308,13.43859757,11.67656695,9.856563906,8.01991964,6.20403386,4.442374784,2.76447914,1.195952163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.612296667,5.874945338,9.809519025,15.10785434,17.72220179,19.01182883,19.71072698,19.89370182,19.63170808,18.99184968,18.03737969,16.82770035,15.41836306,13.86106841,12.20366612,10.49015509,8.760683398,7.051548271,5.395196108,3.820222473,2.351372094,1.009538866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.577345784,5.796342271,9.678273842,14.91556181,17.52202512,18.83295812,19.56930363,19.80395818,19.60604813,19.04092968,18.17018882,17.0516414,15.73933305,14.28353924,12.73076528,11.12374627,9.501447155,7.899062682,6.348017432,4.875965806,3.506792025,2.26061013,1.153763985,0.198827275,0,0,0,0,0,0,0,0,0,0,0,0.019050367,0.467710414,0.848442739,1.117268346,1.226438065,1.124432543,0.755962253,0.061967487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.542394901,5.717739204,9.547028659,14.72326927,17.32184845,18.65408742,19.42788027,19.71421453,19.58038818,19.09000968,18.30299796,17.27558245,16.06030303,14.70601008,13.25786445,11.75733746,10.24221091,8.746577092,7.300838756,5.93170914,4.662211955,3.511681394,2.495762122,1.626409286,0.911888508,0.356775888,0,0,0,0,0,0.165053243,0.544008633,0.986158168,1.462872245,1.941831738,2.387027998,2.758762856,3.013648617,3.104608065,2.980874461,2.587991544,1.867813531,0.758505114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.507444017,5.639136138,9.415783475,14.53097674,17.12167179,18.47521671,19.28645692,19.62447089,19.55472823,19.13908968,18.4358071,17.4995235,16.38127301,15.12848092,13.78496362,12.39092864,10.98297467,9.594091503,8.25366008,6.987452473,5.817631886,4.762752658,3.837760259,3.053991297,2.419173508,1.937425766,1.609258074,1.431571574,1.397658536,1.497202366,1.716277603,2.03734992,2.439276123,2.897304152,3.383073078,3.864613108,4.306345582,4.669082973,4.910028887,4.982778065,4.837316378,4.420020835,3.673659575,2.537391871,0.946768132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.472493134,5.560533071,9.284538292,14.33868421,16.92149512,18.296346,19.14503356,19.53472725,19.52906828,19.18816968,18.56861624,17.72346455,16.702243,15.55095176,14.31206278,13.02451983,11.72373843,10.44160591,9.206481404,8.043195806,6.973051817,6.013823922,5.179758397,4.481573307,3.926458508,3.518075643,3.256558145,3.138511238,3.157011933,3.301609032,3.558323127,3.909646598,4.334543614,4.808450136,5.303273911,5.787394479,6.225663166,6.579403091,6.806409158,6.860948065,6.693758295,6.252050125,5.479505619,4.316278629,2.698994798,0.56075156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.437542251,5.481930004,9.153293109,14.14639167,16.72131845,18.11747529,19.0036102,19.44498361,19.50340833,19.23724968,18.70142537,17.9474056,17.02321298,15.97342259,14.83916195,13.65811101,12.46450218,11.28912032,10.15930273,9.09893914,8.128471747,7.264895186,6.521756534,5.909155318,5.433743508,5.09872552,4.903858216,4.845450902,4.91636533,5.106015699,5.400368651,5.781943275,6.229811105,6.71959612,7.223474745,7.71017585,8.14498075,8.489723208,8.702789429,8.739118065,8.550200213,8.084079416,7.285351663,6.095165386,4.451221465,2.287773224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.402591367,5.403326938,9.022047925,13.95409914,16.52114179,17.93860458,18.86218685,19.35523996,19.47774838,19.28632968,18.83423451,18.17134665,17.34418297,16.39589343,15.36626112,14.29170219,13.20526594,12.13663474,11.11212405,10.15468247,9.283891678,8.51596645,7.863754671,7.336737329,6.941028508,6.679375398,6.551158286,6.552390566,6.675718728,6.910422366,7.242414175,7.654239952,8.125078595,8.630742104,9.143675578,9.63295722,10.06429833,10.40004333,10.5991697,10.61728806,10.40664213,9.916108707,9.091197707,7.874052143,6.203448132,4.014794888,1.240134731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
